Option 12,6,0.046875
Option 3,6,0.046875
Option 16,4,0.03125
Option 17,5,0.0390625
Option 6,6,0.046875
Option 21,2,0.015625
Option 18,4,0.03125
Option 5,7,0.0546875
Option 24,3,0.0234375
Option 7,6,0.046875
Option 13,5,0.0390625
Option 19,4,0.03125
Option 10,7,0.0546875
Option 14,7,0.0546875
Option 25,3,0.0234375
Option 11,7,0.0546875
Option 1,7,0.0546875
Option 20,2,0.015625
Option 2,6,0.046875
Option 15,5,0.0390625
Option 22,3,0.0234375
Option 4,7,0.0546875
Option 23,4,0.03125
Option 8,7,0.0546875
Option 9,5,0.0390625
